from_vertex_id;to_vertex_id;one_way;weight;geom
12774;13618;FT;11.591876;LINESTRING(37.639476 55.742414,37.639453 55.742465,37.639533 55.742489)
4302;4304;FT;18.631845;LINESTRING(37.677126 55.757700,37.676917 55.757718,37.676832 55.757709)
18508;18510;FT;33.154899;LINESTRING(37.634346 55.728500,37.634342 55.728703,37.634340 55.728798)
22304;21113;FT;14.980301;LINESTRING(37.654327 55.742844,37.654275 55.742746,37.654282 55.742714)
22304;22310;FT;16.579331;LINESTRING(37.654327 55.742844,37.654275 55.742746,37.654245 55.742702)
12889;12891;FT;10.698899;LINESTRING(37.674480 55.773603,37.674437 55.773625,37.674364 55.773673)
19080;19081;FT;8.983274;LINESTRING(37.624064 55.751480,37.624076 55.751465,37.624109 55.751403)
19117;19118;FT;14.602511;LINESTRING(37.684117 55.759041,37.683999 55.759042,37.683889 55.759061)
22522;22524;FT;70.036324;LINESTRING(37.639109 55.752490,37.638883 55.752247,37.638593 55.751931)
517;518;FT;21.764602;LINESTRING(37.668942 55.746881,37.669062 55.746746,37.669098 55.746706)
16588;16589;FT;15.618071;LINESTRING(37.582625 55.764437,37.582762 55.764506,37.582802 55.764535)
20977;20979;FT;77.502615;LINESTRING(37.689372 55.736464,37.689969 55.736410,37.690595 55.736353)
9138;9140;FT;27.779825;LINESTRING(37.583990 55.736536,37.583761 55.736425,37.583654 55.736373)
24350;24348;FT;36.653375;LINESTRING(37.573256 55.735252,37.573169 55.735212,37.572803 55.735043)
18618;18620;FT;6.863755;LINESTRING(37.627211 55.728967,37.627241 55.728971,37.627318 55.728981)
20204;973;FT;11.468583;LINESTRING(37.621623 55.773481,37.621617 55.773529,37.621715 55.773529)
20204;11446;FT;8.665580;LINESTRING(37.621623 55.773481,37.621617 55.773529,37.621615 55.773559)
15607;15605;FT;5.295841;LINESTRING(37.587566 55.744093,37.587541 55.744094,37.587482 55.744096)
1100;1101;FT;20.444699;LINESTRING(37.615838 55.770754,37.616098 55.770750,37.616165 55.770749)
8258;8260;FT;11.566376;LINESTRING(37.684368 55.743219,37.684334 55.743244,37.684256 55.743302)
8258;8393;FT;5.881280;LINESTRING(37.684368 55.743219,37.684334 55.743244,37.684316 55.743224)
8258;8394;FT;7.364362;LINESTRING(37.684368 55.743219,37.684334 55.743244,37.684355 55.743277)
